,Models to Add,Priority (1=hi),Class,Task,Reasoning State,Chat Template
,https://huggingface.co/openai/gpt-oss-20b,1,B,text_gen,On (High),"  reasoning: True
  reasoning_params:
    reasoning_effort: high"
,https://huggingface.co/openai/gpt-oss-20b,1,B,text_gen,On (Low),"  reasoning: True
  reasoning_params:
    reasoning_effort: low"
,https://huggingface.co/openai/gpt-oss-20b,1,B,text_gen,On (Medium),"  reasoning: True
  reasoning_params:
    reasoning_effort: medium"
,https://huggingface.co/google/gemma-3-4b-pt,1,A,text_gen,On,  reasoning: True
,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,1,A,text_gen,On,"reasoning: True
"
,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,1,A,text_gen,Off,"reasoning: False
"
,https://huggingface.co/microsoft/Phi-4-reasoning-plus,1,A,text_gen,Off,N/A (default)
,https://huggingface.co/microsoft/Phi-4-reasoning-plus,1,A,text_gen,On,"reasoning: True
"
,https://huggingface.co/Qwen/Qwen2.5-Coder-14B,1,A,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,1,A,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,1,B,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/Qwen/Qwen3-30B-A3B,1,B,text_gen,On,enable_thinking=True
,https://huggingface.co/openai/gpt-oss-120b,1,C,text_gen,On (High),reasoning_effort: high
,https://huggingface.co/openai/gpt-oss-120b,1,C,text_gen,On (Low),"  reasoning: True
  reasoning_params:
    reasoning_effort: low"
,https://huggingface.co/openai/gpt-oss-120b,1,C,text_gen,On (Medium),"  reasoning: True
  reasoning_params:
    reasoning_effort: medium"
,https://huggingface.co/deepseek-ai/DeepSeek-R1,1,C,text_gen,Off,N/A (default)
,https://huggingface.co/deepseek-ai/DeepSeek-R1,1,C,text_gen,On,Thinking Mode: Prepend input with <think>.
,https://huggingface.co/deepseek-ai/DeepSeek-V3.2-Exp,1,C,text_gen,Off (N/A),
,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Thinking,1,C,text_gen,On,"Qwen3-Next-80B-A3B-Thinking supports only thinking mode. To enforce model thinking, the default chat template automatically includes <think>. Therefore, it is normal for the model's output to contain only </think> without an explicit opening <think> tag."
,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct,1,C,text_gen,On,"Qwen3-Next-80B-A3B-Instruct supports only instruct (non-thinking) mode and does not generate <think></think> blocks in its output.
"
,https://huggingface.co/zai-org/GLM-4.6,1,C,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/ibm-granite/granite-4.0-micro,1,A,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/ibm-granite/granite-4.0-h-tiny,1,A,text_gen,Off (N/A),N/A (default)
,https://huggingface.co/ibm-granite/granite-4.0-h-small,1,C,text_gen,Off (N/A),N/A (default)
